pool,metric,F,P,R,params
0xa5407eae9ba41422680e2e00537571bcc53efbfd,netLPFlow,0.0,0.0,0.0,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0xa5407eae9ba41422680e2e00537571bcc53efbfd,netSwapFlow,0.08333333333333333,0.047619047619047616,0.3333333333333333,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0xa5407eae9ba41422680e2e00537571bcc53efbfd,sharkflow,0.0,0.0,0.0,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0xa5407eae9ba41422680e2e00537571bcc53efbfd,shannonsEntropy,0.08108108108108107,0.045454545454545456,0.375,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0xa5407eae9ba41422680e2e00537571bcc53efbfd,giniCoefficient,0.0,0.0,0.0,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0xa1f8a6807c402e4a15ef4eba36528a3fed24e577,300.Markout,0.0,0.0,0.0,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0xa1f8a6807c402e4a15ef4eba36528a3fed24e577,netLPFlow,0.0,0.0,0.0,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0xa1f8a6807c402e4a15ef4eba36528a3fed24e577,netSwapFlow,0.0,0.0,0.0,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0xa1f8a6807c402e4a15ef4eba36528a3fed24e577,sharkflow,0.0,0.0,0.0,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0xa1f8a6807c402e4a15ef4eba36528a3fed24e577,shannonsEntropy,0.0,0.0,0.0,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0xa1f8a6807c402e4a15ef4eba36528a3fed24e577,giniCoefficient,0.0,0.0,0.0,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0xed279fdd11ca84beef15af5d39bb4d4bee23f0ca,300.Markout,0.0,0.0,0.0,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0xed279fdd11ca84beef15af5d39bb4d4bee23f0ca,netLPFlow,0.0,0.0,0.0,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0xed279fdd11ca84beef15af5d39bb4d4bee23f0ca,netSwapFlow,0.0,0.0,0.0,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0xed279fdd11ca84beef15af5d39bb4d4bee23f0ca,sharkflow,0.0,0.0,0.0,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0xed279fdd11ca84beef15af5d39bb4d4bee23f0ca,shannonsEntropy,0.0,0.0,0.0,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0xed279fdd11ca84beef15af5d39bb4d4bee23f0ca,giniCoefficient,0.0,0.0,0.0,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0x4807862aa8b2bf68830e4c8dc86d0e9a998e085a,300.Markout,0.0,0.0,0.0,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0x4807862aa8b2bf68830e4c8dc86d0e9a998e085a,netLPFlow,0.0,0.0,0.0,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0x4807862aa8b2bf68830e4c8dc86d0e9a998e085a,netSwapFlow,0.0,0.0,0.0,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0x4807862aa8b2bf68830e4c8dc86d0e9a998e085a,sharkflow,0.0,0.0,0.0,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0x4807862aa8b2bf68830e4c8dc86d0e9a998e085a,shannonsEntropy,0.0,0.0,0.0,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0x4807862aa8b2bf68830e4c8dc86d0e9a998e085a,giniCoefficient,0.0,0.0,0.0,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0x828b154032950c8ff7cf8085d841723db2696056,300.Markout,0.14670658682634732,0.35,0.09280303030303032,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0x828b154032950c8ff7cf8085d841723db2696056,netLPFlow,0.11788453774727493,0.4,0.06912878787878789,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0x828b154032950c8ff7cf8085d841723db2696056,netSwapFlow,0.14611154752553027,0.42857142857142855,0.08806818181818182,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0x828b154032950c8ff7cf8085d841723db2696056,sharkflow,0.0,0.0,0.0,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0x828b154032950c8ff7cf8085d841723db2696056,shannonsEntropy,0.0,0.0,0.0,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0x828b154032950c8ff7cf8085d841723db2696056,giniCoefficient,0.0,0.0,0.0,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0x5fae7e604fc3e24fd43a72867cebac94c65b404a,300.Markout,0.0,0.0,0.0,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0x5fae7e604fc3e24fd43a72867cebac94c65b404a,netLPFlow,0.0,0.0,0.0,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0x5fae7e604fc3e24fd43a72867cebac94c65b404a,netSwapFlow,0.0,0.0,0.0,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0x5fae7e604fc3e24fd43a72867cebac94c65b404a,sharkflow,0.0,0.0,0.0,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0x5fae7e604fc3e24fd43a72867cebac94c65b404a,shannonsEntropy,0.0,0.0,0.0,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0x5fae7e604fc3e24fd43a72867cebac94c65b404a,giniCoefficient,0.0,0.0,0.0,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
