,giniCoefficient,shannonsEntropy,FRAX.netSwapFlow,FRAX.netLPFlow,USDC.netSwapFlow,USDC.netLPFlow
2023-03-01 00:00:00,0.15608677057892406,0.9285142616130265,0.0,0,0.0,0.0
2023-03-01 00:01:00,0.15608677057892406,0.9285142616130266,0.0,0,0.0,0.0
2023-03-01 00:02:00,0.15608677057892406,0.9285142616130265,0.0,0,0.0,0.0
2023-03-01 00:03:00,0.15608677057892406,0.9285142616130265,0.0,0,0.0,0.0
2023-03-01 00:04:00,0.15608677057892406,0.9285142616130265,0.0,0,0.0,0.0
2023-03-01 00:05:00,0.15608677057892406,0.9285142616130265,0.0,0,0.0,0.0
2023-03-01 00:06:00,0.15608677057892406,0.9285142616130265,0.0,0,0.0,0.0
2023-03-01 00:07:00,0.15608677057892406,0.9285142616130265,0.0,0,0.0,0.0
2023-03-01 00:08:00,0.15608677057892406,0.9285142616130265,0.0,0,0.0,0.0
2023-03-01 00:09:00,0.15616230822702862,0.9284437812350876,0.0,0,0.0,0.0
2023-03-01 00:10:00,0.15608540348531194,0.9285155355208271,0.0,0,0.0,0.0
2023-03-01 00:11:00,0.15608506171190892,0.9285158539977771,0.0,0,0.0,0.0
2023-03-01 00:12:00,0.15608506171190892,0.9285158539977771,0.0,0,0.0,0.0
2023-03-01 00:13:00,0.15608506171190892,0.9285158539977771,0.0,0,0.0,0.0
2023-03-01 00:14:00,0.15608506171190892,0.9285158539977771,0.0,0,0.0,0.0
2023-03-01 00:15:00,0.15608362695488034,0.9285171909380161,0.0,0,0.0,0.0
2023-03-01 00:16:00,0.1560826704501946,0.9285180822315088,0.0,0,0.0,0.0
2023-03-01 00:17:00,0.1560826704501946,0.9285180822315088,0.0,0,0.0,0.0
2023-03-01 00:18:00,0.1560826704501946,0.9285180822315088,0.0,0,0.0,0.0
2023-03-01 00:19:00,0.1560826704501946,0.9285180822315087,0.0,0,0.0,0.0
2023-03-01 00:20:00,0.1560826704501946,0.9285180822315088,0.0,0,0.0,0.0
2023-03-01 00:21:00,0.15608267045019375,0.9285180822315094,0.0,0,0.0,0.0
2023-03-01 00:22:00,0.15608267045019375,0.9285180822315094,0.0,0,0.0,0.0
2023-03-01 00:23:00,0.15608267045019375,0.9285180822315094,0.0,0,0.0,0.0
2023-03-01 00:24:00,0.15608267045019375,0.9285180822315094,0.0,0,0.0,0.0
2023-03-01 00:25:00,0.15608267045019375,0.9285180822315094,0.0,0,0.0,0.0
2023-03-01 00:26:00,0.15608267045019375,0.9285180822315094,0.0,0,0.0,0.0
2023-03-01 00:27:00,0.15608267045019375,0.9285180822315094,0.0,0,0.0,0.0
2023-03-01 00:28:00,0.15608267045019375,0.9285180822315094,0.0,0,0.0,0.0
2023-03-01 00:29:00,0.15608267045019375,0.9285180822315094,0.0,0,0.0,0.0
2023-03-01 00:30:00,0.15608267045019375,0.9285180822315094,0.0,0,0.0,0.0
2023-03-01 00:31:00,0.15608267045019375,0.9285180822315094,0.0,0,0.0,0.0
2023-03-01 00:32:00,0.15608267045019375,0.9285180822315094,0.0,0,0.0,0.0
2023-03-01 00:33:00,0.15608267045019375,0.9285180822315094,0.0,0,0.0,0.0
2023-03-01 00:34:00,0.15608267045019375,0.9285180822315094,0.0,0,0.0,0.0
2023-03-01 00:35:00,0.15608267045019375,0.9285180822315094,0.0,0,0.0,0.0
2023-03-01 00:36:00,0.15608267045019375,0.9285180822315094,0.0,0,0.0,0.0
2023-03-01 00:37:00,0.15608267045019375,0.9285180822315094,0.0,0,0.0,0.0
2023-03-01 00:38:00,0.15608267045019375,0.9285180822315094,0.0,0,0.0,0.0
2023-03-01 00:39:00,0.15608267045019375,0.9285180822315094,0.0,0,0.0,0.0
2023-03-01 00:40:00,0.15670385329340092,0.9279380202987543,0.0,0,0.0,0.0
2023-03-01 00:41:00,0.15670385329340092,0.9279380202987543,0.0,0,0.0,0.0
2023-03-01 00:42:00,0.15670385329340092,0.9279380202987543,0.0,0,0.0,0.0
2023-03-01 00:43:00,0.15670385329340092,0.9279380202987543,0.0,0,0.0,0.0
2023-03-01 00:44:00,0.15670385329340092,0.9279380202987543,0.0,0,0.0,0.0
2023-03-01 00:45:00,0.15670385329340092,0.9279380202987543,0.0,0,0.0,0.0
2023-03-01 00:46:00,0.15670385329340092,0.9279380202987543,0.0,0,0.0,0.0
2023-03-01 00:47:00,0.15670385329340092,0.9279380202987543,0.0,0,0.0,0.0
2023-03-01 00:48:00,0.15670385329340092,0.9279380202987543,0.0,0,0.0,0.0
2023-03-01 00:49:00,0.15670385329340092,0.9279380202987543,0.0,0,0.0,0.0
2023-03-01 00:50:00,0.15670385329340092,0.9279380202987543,0.0,0,0.0,0.0
2023-03-01 00:51:00,0.15670385329340092,0.9279380202987543,0.0,0,0.0,0.0
2023-03-01 00:52:00,0.15668051851013115,0.9279598480273984,0.0,0,0.0,0.0
2023-03-01 00:53:00,0.15653809115401,0.9280930392545172,0.0,0,0.0,0.0
2023-03-01 00:54:00,0.15646445881944687,0.9281618597233317,0.0,0,0.0,0.0
2023-03-01 00:55:00,0.15646445881944687,0.9281618597233317,0.0,0,0.0,0.0
2023-03-01 00:56:00,0.15646445881944687,0.9281618597233317,0.0,0,0.0,0.0
2023-03-01 00:57:00,0.15646445881944687,0.9281618597233317,0.0,0,0.0,0.0
2023-03-01 00:58:00,0.15646445881944687,0.9281618597233317,0.0,0,0.0,0.0
2023-03-01 00:59:00,0.15646445881944687,0.9281618597233317,0.0,0,0.0,0.0
2023-03-01 01:00:00,0.15646445881944687,0.9281618597233317,0.0,0,0.0,0.0
2023-03-01 01:01:00,0.15646445881944687,0.9281618597233317,0.0,0,0.0,0.0
2023-03-01 01:02:00,0.15646445881944687,0.9281618597233317,0.0,0,0.0,0.0
2023-03-01 01:03:00,0.15646445881944687,0.9281618597233317,0.0,0,0.0,0.0
2023-03-01 01:04:00,0.15646445881944687,0.9281618597233317,0.0,0,0.0,0.0
2023-03-01 01:05:00,0.15646445881944687,0.9281618597233317,0.0,0,0.0,0.0
2023-03-01 01:06:00,0.15646445881944687,0.9281618597233317,0.0,0,0.0,0.0
2023-03-01 01:07:00,0.15646445881944687,0.9281618597233317,0.0,0,0.0,0.0
2023-03-01 01:08:00,0.15567494326981346,0.9288944462983562,0.0,0,0.0,0.0
2023-03-01 01:09:00,0.15606211019566446,0.9285372233144426,0.0,0,0.0,0.0
2023-03-01 01:10:00,0.1556799386093769,0.9288897874669217,0.0,0,0.0,0.0
2023-03-01 01:11:00,0.15615764568388707,0.92844817479322,0.0,0,0.0,0.0
2023-03-01 01:12:00,0.15605444033665344,0.9285443309369462,0.0,0,0.0,0.0
2023-03-01 01:13:00,0.1560881881492961,0.9285129104120247,0.0,0,0.0,0.0
2023-03-01 01:14:00,0.15612484019376446,0.928478749074802,0.0,0,0.0,0.0
2023-03-01 01:15:00,0.15565991606497392,0.9289084353860824,0.0,0,0.0,0.0
2023-03-01 01:16:00,0.15617206632906955,0.9284347393027745,0.0,0,0.0,0.0
2023-03-01 01:17:00,0.1561734175017771,0.9284334791871613,0.0,0,0.0,0.0
2023-03-01 01:18:00,0.1561337714060387,0.9284704261415785,0.0,0,0.0,0.0
2023-03-01 01:19:00,0.15617300815051025,0.92843386081818,0.0,0,0.0,0.0
2023-03-01 01:20:00,0.15613676545730876,0.9284676405243839,0.0,0,0.0,0.0
2023-03-01 01:21:00,0.1556357065253419,0.9289310116217548,0.0,0,0.0,0.0
2023-03-01 01:22:00,0.1561024064069887,0.9284996632613988,0.0,0,0.0,0.0
2023-03-01 01:23:00,0.1560580160942051,0.9285410048325276,0.0,0,0.0,0.0
2023-03-01 01:24:00,0.15468081479671322,0.9298137440444689,0.0,0,0.0,0.0
2023-03-01 01:25:00,0.1556255570146539,0.928940458123097,0.0,0,0.0,0.0
2023-03-01 01:26:00,0.15604573181811737,0.9285524725177818,0.0,0,0.0,0.0
2023-03-01 01:27:00,0.1561213289012024,0.9284820112431287,0.0,0,0.0,0.0
2023-03-01 01:28:00,0.156180296484222,0.9284270633865377,0.0,0,0.0,0.0
2023-03-01 01:29:00,0.1560504624416708,0.9285480595132143,0.0,0,0.0,0.0
2023-03-01 01:30:00,0.15609838667620868,0.9285033793499105,0.0,0,0.0,0.0
2023-03-01 01:31:00,0.1556379995194902,0.9289288730215469,0.0,0,0.0,0.0
2023-03-01 01:32:00,0.15562026996923553,0.9289453823404996,0.0,0,0.0,0.0
2023-03-01 01:33:00,0.1562087183735379,0.928400577965552,0.0,0,0.0,0.0
2023-03-01 01:34:00,0.1561654281109436,0.9284409236357902,0.0,0,0.0,0.0
2023-03-01 01:35:00,0.15611746739917093,0.9284856099153446,0.0,0,0.0,0.0
2023-03-01 01:36:00,0.15609973784891626,0.9285021192342973,0.0,0,0.0,0.0
2023-03-01 01:37:00,0.15571429765969697,0.9288577647299071,0.0,0,0.0,0.0
2023-03-01 01:38:00,0.15567100739710266,0.9288981104001455,0.0,0,0.0,0.0
2023-03-01 01:39:00,0.1560419978318171,0.9285559160384965,0.0,0,0.0,0.0
2023-03-01 01:40:00,0.1561190359070541,0.9284841498433366,0.0,0,0.0,0.0
2023-03-01 01:41:00,0.15613012723918282,0.9284738248573996,0.0,0,0.0,0.0
2023-03-01 01:42:00,0.15562326402050558,0.928942596723305,0.0,0,0.0,0.0
2023-03-01 01:43:00,0.1561001134128404,0.9285018018616066,0.0,0,0.0,0.0
2023-03-01 01:44:00,0.1561024064069887,0.9284996632613988,0.0,0,0.0,0.0
2023-03-01 01:45:00,0.15600741210302166,0.9285881850919994,0.0,0,0.0,0.0
2023-03-01 01:46:00,0.15609482636742206,0.928506726079009,0.0,0,0.0,0.0
2023-03-01 01:47:00,0.1555932209307452,0.9289697031996393,0.0,0,0.0,0.0
2023-03-01 01:48:00,0.15605288727753536,0.928545811633634,0.0,0,0.0,0.0
2023-03-01 01:49:00,0.15613012723918282,0.9284738248573996,0.0,0,0.0,0.0
2023-03-01 01:50:00,0.15612848436062035,0.9284753503589809,0.0,0,0.0,0.0
2023-03-01 01:51:00,0.15615141709822414,0.9284539688093485,0.0,0,0.0,0.0
2023-03-01 01:52:00,0.155676294442521,0.9288931861827429,0.0,0,0.0,0.0
2023-03-01 01:53:00,0.156130466818224,0.9284735100619838,0.0,0,0.0,0.0
2023-03-01 01:54:00,0.1555937674354552,0.9289700971763798,0.0,0,0.0,0.0
2023-03-01 01:55:00,0.15558830272778598,0.9289751831494986,0.0,0,0.0,0.0
2023-03-01 01:56:00,0.15615433677881488,0.9284512486217272,0.0,0,0.0,0.0
2023-03-01 01:57:00,0.15565724182930935,0.9289109266633304,0.0,0,0.0,0.0
2023-03-01 01:58:00,0.1561734175017771,0.9284334791871613,0.0,0,0.0,0.0
2023-03-01 01:59:00,0.1560987622401328,0.9285030619772199,0.0,0,0.0,0.0
2023-03-01 02:00:00,0.15612619136647204,0.9284774889591887,0.0,0,0.0,0.0
2023-03-01 02:01:00,0.15611611622646335,0.9284868700309579,0.0,0,0.0,0.0
2023-03-01 02:02:00,0.155676294442521,0.9288931861827429,0.0,0,0.0,0.0
2023-03-01 02:03:00,0.15621006954624547,0.9283993178499387,0.0,0,0.0,0.0
2023-03-01 02:04:00,0.15616425449066001,0.928442019521467,0.0,0,0.0,0.0
2023-03-01 02:05:00,0.15608103268987814,0.9285195712961725,0.0,0,0.0,0.0
2023-03-01 02:06:00,0.1561190359070541,0.9284841498433366,0.0,0,0.0,0.0
2023-03-01 02:07:00,0.1561213289012024,0.9284820112431287,0.0,0,0.0,0.0
2023-03-01 02:08:00,0.1560798037610362,0.9285207165727647,0.0,0,0.0,0.0
2023-03-01 02:09:00,0.15602643375997954,0.9285704419087425,0.0,0,0.0,0.0
