,giniCoefficient,shannonsEntropy,ETH.netSwapFlow,ETH.netLPFlow,stETH.netSwapFlow,stETH.netLPFlow
2023-03-01 00:00:00,0.0037796758952843845,0.9999374546269285,0.0,0,0.0,0
2023-03-01 00:01:00,0.004256271371606796,0.9999240464519923,0.0,0,0.0,0
2023-03-01 00:02:00,0.0015264772231773378,0.9999932276708611,0.0,0,0.0,0
2023-03-01 00:03:00,0.0026058629008437603,0.9999655924155458,0.0,0,0.0,0
2023-03-01 00:04:00,0.003754765146095522,0.9999374736332932,0.0,0,0.0,0
2023-03-01 00:05:00,0.004896815158660531,0.9999094552114389,0.0,0,0.0,0
2023-03-01 00:06:00,0.003818822064470964,0.9999370813316586,0.0,0,0.0,0
2023-03-01 00:07:00,0.0025967195479612284,0.9999658604861283,0.0,0,0.0,0
2023-03-01 00:08:00,0.0026369894041597492,0.9999654781913134,0.0,0,0.0,0
2023-03-01 00:09:00,0.004891529265639192,0.9999096921611876,0.0,0,0.0,0
2023-03-01 00:10:00,0.0026434368233368135,0.9999652308779406,0.0,0,0.0,0
2023-03-01 00:11:00,0.0037157572749216003,0.9999378446289059,0.0,0,0.0,0
2023-03-01 00:12:00,0.0036777025202515286,0.9999383593488007,0.0,0,0.0,0
2023-03-01 00:13:00,0.0026685519916819517,0.9999652100885669,0.0,0,0.0,0
2023-03-01 00:14:00,0.0025711310882295065,0.9999658849567619,0.0,0,0.0,0
2023-03-01 00:15:00,0.00482687726473739,0.9999100892298536,0.0,0,0.0,0
2023-03-01 00:16:00,0.0037527408226196574,0.9999376841852282,0.0,0,0.0,0
2023-03-01 00:17:00,0.00482687726473739,0.9999100892298536,0.0,0,0.0,0
2023-03-01 00:18:00,0.0027101265349019597,0.999964495034072,0.0,0,0.0,0
2023-03-01 00:19:00,0.002859810124614093,0.9999590447633833,0.0,0,0.0,0
2023-03-01 00:20:00,0.0037163485874271486,0.9999378398708629,0.0,0,0.0,0
2023-03-01 00:21:00,0.003754765144842608,0.9999374736333031,0.0,0,0.0,0
2023-03-01 00:22:00,0.0037161497385381492,0.9999378416499256,0.0,0,0.0,0
2023-03-01 00:23:00,0.002642907012636343,0.9999652361469966,0.0,0,0.0,0
2023-03-01 00:24:00,0.0037091076139466423,0.9999380927022866,0.0,0,0.0,0
2023-03-01 00:25:00,0.001594586565367834,0.9999926105493332,0.0,0,0.0,0
2023-03-01 00:26:00,0.003719740737813808,0.999937619344277,0.0,0,0.0,0
2023-03-01 00:27:00,0.0027063630115971475,0.9999648487233674,0.0,0,0.0,0
2023-03-01 00:28:00,0.002602770599250746,0.9999656162142454,0.0,0,0.0,0
2023-03-01 00:29:00,0.0025659268913272226,0.9999661212187014,0.0,0,0.0,0
2023-03-01 00:30:00,0.0037210701838206435,0.9999376074716642,0.0,0,0.0,0
2023-03-01 00:31:00,0.0025769948962245763,0.9999658364550399,0.0,0,0.0,0
2023-03-01 00:32:00,0.004967955566831492,0.9999088115345314,0.0,0,0.0,0
2023-03-01 00:33:00,0.002565885629544141,0.9999661215406792,0.0,0,0.0,0
2023-03-01 00:34:00,0.0038462885590189017,0.9999367194239321,0.0,0,0.0,0
2023-03-01 00:35:00,0.003956610818376604,0.9999357021337996,0.0,0,0.0,0
2023-03-01 00:36:00,0.0028657492870954116,0.9999587552223624,0.0,0,0.0,0
2023-03-01 00:37:00,0.0037222305037614804,0.9999375981445828,0.0,0,0.0,0
2023-03-01 00:38:00,0.003885469458650448,0.9999363458202932,0.0,0,0.0,0
2023-03-01 00:39:00,0.0038568663936740253,0.999936566687801,0.0,0,0.0,0
2023-03-01 00:40:00,0.0025699526586964935,0.9999660875084114,0.0,0,0.0,0
2023-03-01 00:41:00,0.0037216297179705716,0.9999376029690717,0.0,0,0.0,0
2023-03-01 00:42:00,0.0027147751288415806,0.9999645854315566,0.0,0,0.0,0
2023-03-01 00:43:00,0.001627244170802186,0.9999923326700628,0.0,0,0.0,0
2023-03-01 00:44:00,0.0025666237719346157,0.9999661144260381,0.0,0,0.0,0
2023-03-01 00:45:00,0.0048327402418353385,0.9999098482831972,0.0,0,0.0,0
2023-03-01 00:46:00,0.0038981196042251866,0.9999358552467257,0.0,0,0.0,0
2023-03-01 00:47:00,0.0037171202472591177,0.9999378347263411,0.0,0,0.0,0
2023-03-01 00:48:00,0.002568101396093326,0.9999661025469975,0.0,0,0.0,0
2023-03-01 00:49:00,0.0015550096861321663,0.9999929861139893,0.0,0,0.0,0
2023-03-01 00:50:00,0.003678862840818823,0.9999383500217143,0.0,0,0.0,0
2023-03-01 00:51:00,0.003715590184104016,0.9999378461526813,0.0,0,0.0,0
2023-03-01 00:52:00,0.003687523563392716,0.9999380858141123,0.0,0,0.0,0
2023-03-01 00:53:00,0.004892088809931224,0.9999096876585135,0.0,0,0.0,0
2023-03-01 00:54:00,0.002864682634314342,0.9999590054037824,0.0,0,0.0,0
2023-03-01 00:55:00,0.003679189618322056,0.9999383474033092,0.0,0,0.0,0
2023-03-01 00:56:00,0.0026011177654246607,0.9999658229618408,0.0,0,0.0,0
2023-03-01 00:57:00,0.0015262976735237004,0.9999932302924146,0.0,0,0.0,0
2023-03-01 00:58:00,0.0037099071363164314,0.9999380860997403,0.0,0,0.0,0
2023-03-01 00:59:00,0.002637026047857205,0.9999654778636904,0.0,0,0.0,0
2023-03-01 01:00:00,0.0037855221302450135,0.9999372132185986,0.0,0,0.0,0
2023-03-01 01:01:00,0.003752180336288077,0.9999376886974121,0.0,0,0.0,0
2023-03-01 01:02:00,0.003779116361134456,0.9999374591295209,0.0,0,0.0,0
2023-03-01 01:03:00,0.00263834978872012,0.9999654660485501,0.0,0,0.0,0
2023-03-01 01:04:00,0.0037144596078968416,0.9999378562460631,0.0,0,0.0,0
2023-03-01 01:05:00,0.0037791173126896496,0.9999374591199347,0.0,0,0.0,0
2023-03-01 01:06:00,0.0038866297792177424,0.9999363364932068,0.0,0,0.0,0
2023-03-01 01:07:00,0.003786888209180745,0.9999372010184494,0.0,0,0.0,0
2023-03-01 01:08:00,0.0026403222040818123,0.9999654512111056,0.0,0,0.0,0
2023-03-01 01:09:00,0.004832158405422916,0.9999098523279809,0.0,0,0.0,0
2023-03-01 01:10:00,0.0037488832088505295,0.9999377153597413,0.0,0,0.0,0
2023-03-01 01:11:00,0.0029567862719498276,0.999957932393033,0.0,0,0.0,0
2023-03-01 01:12:00,0.0025985788135577228,0.9999658433443879,0.0,0,0.0,0
2023-03-01 01:13:00,0.0025667422272634896,0.9999661136531417,0.0,0,0.0,0
2023-03-01 01:14:00,0.00371614984195908,0.9999378416489915,0.0,0,0.0,0
2023-03-01 01:15:00,0.0037494109849290427,0.9999377111124362,0.0,0,0.0,0
2023-03-01 01:16:00,0.0014868191123893837,0.9999936042502544,0.0,0,0.0,0
2023-03-01 01:17:00,0.0038208127054128343,0.9999367429368353,0.0,0,0.0,0
2023-03-01 01:18:00,0.0037141086647151126,0.9999378590920086,0.0,0,0.0,0
2023-03-01 01:19:00,0.003689507605814086,0.9999378755743342,0.0,0,0.0,0
2023-03-01 01:20:00,0.0026031369689684426,0.9999656134857489,0.0,0,0.0,0
2023-03-01 01:21:00,0.0026381510438785085,0.9999654678266738,0.0,0,0.0,0
2023-03-01 01:22:00,0.004833604251226006,0.9999098407043908,0.0,0,0.0,0
2023-03-01 01:23:00,0.0015251477784234168,0.9999932395434639,0.0,0,0.0,0
2023-03-01 01:24:00,0.0016248196973675563,0.9999923543192759,0.0,0,0.0,0
2023-03-01 01:25:00,0.0037488832291347335,0.9999377153595781,0.0,0,0.0,0
2023-03-01 01:26:00,0.0037160745785130163,0.9999378420769517,0.0,0,0.0,0
2023-03-01 01:27:00,0.003754132581322537,0.9999374787132375,0.0,0,0.0,0
2023-03-01 01:28:00,0.004824292465072049,0.999910304293891,0.0,0,0.0,0
2023-03-01 01:29:00,0.00450932706609187,0.9999218260709737,0.0,0,0.0,0
2023-03-01 01:30:00,0.0037612075487614333,0.9999372273948293,0.0,0,0.0,0
2023-03-01 01:31:00,0.004903293099560771,0.9999092087086175,0.0,0,0.0,0
2023-03-01 01:32:00,0.0038197083761241264,0.999937074210661,0.0,0,0.0,0
2023-03-01 01:33:00,0.005034603912566169,0.9999080760135799,0.0,0,0.0,0
2023-03-01 01:34:00,0.003815531564100851,0.999936979838713,0.0,0,0.0,0
2023-03-01 01:35:00,0.002602291784149827,0.9999656212838058,0.0,0,0.0,0
2023-03-01 01:36:00,0.0038219730259801284,0.9999367336097489,0.0,0,0.0,0
2023-03-01 01:37:00,0.004979719400753069,0.9999083280819614,0.0,0,0.0,0
2023-03-01 01:38:00,0.002644038674872405,0.9999652260428448,0.0,0,0.0,0
2023-03-01 01:39:00,0.002740808245463285,0.9999642350474192,0.0,0,0.0,0
2023-03-01 01:40:00,0.0027069704528342557,0.9999648438318298,0.0,0,0.0,0
2023-03-01 01:41:00,0.00148600377582666,0.999993611815819,0.0,0,0.0,0
2023-03-01 01:42:00,0.0027128543709556536,0.9999646020622075,0.0,0,0.0,0
2023-03-01 01:43:00,0.0037169081215770775,0.9999378353682703,0.0,0,0.0,0
2023-03-01 01:44:00,0.0026397626693054265,0.9999654557137031,0.0,0,0.0,0
2023-03-01 01:45:00,0.0038568682967844124,0.9999365666686284,0.0,0,0.0,0
2023-03-01 01:46:00,0.0038978340688472883,0.9999358575433108,0.0,0,0.0,0
2023-03-01 01:47:00,0.004261143739353255,0.999924007093661,0.0,0,0.0,0
2023-03-01 01:48:00,0.0039233160040827355,0.9999358329448965,0.0,0,0.0,0
2023-03-01 01:49:00,0.0015263091915731196,0.9999932292041362,0.0,0,0.0,0
2023-03-01 01:50:00,0.003856273176990101,0.9999364433475055,0.0,0,0.0,0
2023-03-01 01:51:00,0.0036869227966330985,0.9999380906384481,0.0,0,0.0,0
2023-03-01 01:52:00,0.004969345421355996,0.9999084779642022,0.0,0,0.0,0
2023-03-01 01:53:00,0.002707740460420482,0.9999647083201436,0.0,0,0.0,0
