address,amountBought,amountSold,cumulativeMarkout,meanMarkout,count,windowSize
0x0000000000007f150bd6f54c40a34d7c3d5e9f56,231120594.42217085,233739104.57585824,-2333064.059397255,-535.72079435069,4355,86400
0x000000000000df8c944e775bde7af50300999283,6756343.605583,6890000.0,-9943.634343146216,-191.22373736819645,52,86400
0x0000000000036414940324055c43e75f56b7d016,6791887.2213507565,6680704.603278447,38113.28674059277,154.3048046177845,247,86400
0x00000000000747d525e898424e8774f7eb317d00,815174105.5016866,814949311.5089936,248974.32099227488,233.55940055560495,1066,86400
0x00000000000a47b1298f18cf67de547bbe0d723f,33975775.32722196,33984932.01952673,-10680.60954798688,-11.907034055726733,897,86400
0x00000000000e1d0dabf7b7c7b68866fc940d0db8,544554454.2060324,544530880.5904616,200507.49345010138,1927.9566677894363,104,86400
0x000000000035b5e5ad9019092c665357240f594e,1103955648.291376,1102305406.397293,1624206.8322913076,1561.737338741642,1040,86400
0x00000000008c4fb1c916e0c88fd4cc402d935e7d,30175577605.266125,30165957047.43458,9568738.956415024,203.66819114586488,46982,86400
0x00000000009a41862f3b2b0c688b7c0d1940511e,873406.6038100002,873609.0995187389,-377.33902606816264,-29.026078928320203,13,86400
0x0000000000a84d1a9b0063a910315c7ffa9cd248,1813052905.113022,1855028994.5672007,-12939227.891859053,-538.8875053874913,24011,86400
0x0000000002ce79aacd54227d2163ff3791338975,567977.3143459999,568051.38,-17.260516000067582,-1.3277320000051986,13,86400
0x00000000032962b51589768828ad878876299e14,13662636055.414888,13663967139.961504,-1328760.8464503586,-297.1289907089353,4472,86400
0x0000000005312525ca1b8e946aaf1ffc9a943b6a,372917.5363550001,372944.5496920001,-125.89232572539731,-3.2280083519332643,39,86400
0x000000000562872307a4ba7c8c1625f55bdb3a84,974247.0190046751,974352.7263179204,23.732861842623606,0.6085349190416309,39,86400
0x000000000dfde7deaf24138722987c9a6991e2d4,14117127515.321909,14102783669.39656,-120056231.41455673,-4141.298082599405,28990,86400
0x00000000639a15a3813f933b233e3f7b20689837,380518.9797966588,380552.5049559999,-71.57705732092654,-5.505927486225119,13,86400
0x00000000ae347930bd1e7b0f35588b92280f9e75,5333.0488153604265,5330.0,1.314677126948368,0.025282252441314768,52,86400
0x00000000c251faf2de8217ab64accd0070b97e47,68901447.17216262,68915631.48698801,-34854.748977007344,-2681.1345366928726,13,86400
0x00000000c2cf7648c169b25ef1c217864bfa38cc,278901211.97367233,278986025.38043994,-126520.13246822302,-14.54756036198954,8697,86400
0x000000c0524f353223d94fb76efab586a2ff8664,575662592.3271371,580111851.9521629,-744786.1556222492,-716.1405342521628,1040,86400
0x000000ea0e309ba169bfa8010eb5e95db131940a,2587522.9742570003,2588715.2255108343,-1063.4625658308796,-40.902406378110754,26,86400
0x0000025f8247718510f0144711813d83c3a7fda0,2721.2385719999993,2716.8187280000006,1.4260395864000373,0.10969535280000287,13,86400
0x000002c34bae6dd7bec72acba6aaac1e01a359de,42099.13397079061,42102.65682999999,-9.15108952055266,-0.35196498155971767,26,86400
0x00002b503a75998c97508916a74fdb41934fa030,1692610.3519520003,1693554.0397144598,-513.7733149656196,-13.173674742708195,39,86400
0x0000900e00070d8090169000d2b090b67f0c1050,35925342.48239299,36075226.85010498,-112422.43443455573,-1441.3132619814837,78,86400
0x0000b00b59ad8750d108cea6c583ab6e4c9a6ab9,67946.51386899999,67956.35295744428,17.34246882986554,1.3340360638358106,13,86400
0x0000ce08fa224696a819877070bf378e8b131acf,130004.81657193383,130013.0,-99.18516298087525,-7.629627921605788,13,86400
0x0002fd0f1d0708fdf065d3625b2ee83d210d58d9,467303.0425613498,467661.25147735,-194.3730951083635,-7.475888273398596,26,86400
0x000729f1022cbf699dafc3928b6e92ce2fe33841,1316532.6125569737,1316637.3032539997,21.987165169652144,0.8456601988327748,26,86400
0x000ee82d8e64e9e452acec0fadee302ae2c1f01e,1958516.1645269995,1960462.262772,-181.68220850502257,-13.975554500386352,13,86400
0x0013969bea1ca6849940e6f434853ddbbcd3f46d,226819.5146050645,226831.95038399994,55.61007544602762,4.277698111232894,13,86400
0x00146706a04e9548c77b79a15e628936db37e22a,13002.931422000001,13000.0,-2.268284857799358,-0.17448345059995063,13,86400
0x0017dfe08bcc0dc9a323ca5d4831e371534e9320,76860.22995300002,76866.52032799998,-13.976397995293155,-1.0751075380994735,13,86400
0x00194b4a1d57e72a26f6bfa6e382a146df73c322,379735.21216799994,379730.7878780001,13.260128264500054,0.3400032888333347,39,86400
0x001e15709c2b2e7fb61d8220ae9b444c1eef2d00,1165000.5187859999,1165251.2937130001,-483.85026323531565,-18.609625509050602,26,86400
0x0020c5222a24e4a96b720c06b803fb8d34adc0af,519938.23961299984,520014.5496519999,-76.31003900004725,-5.870003000003635,13,86400
0x002183113f3fedc5b494080954e5e8faeb070fd3,6388594.033275999,6354578.98968071,15736.099453551973,242.09383774695343,65,86400
0x002dcc4d0ad0bdce1c444ad0bb4d51ac7e61d62b,246676.017458,246793.99270890016,-43.94885061259629,-3.3806808163535607,13,86400
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,25992.89335944007,26000.0,0.6912274479041116,0.053171342146470124,13,86400
0x00326e37cef76788f6b0cf643c94481d60bd3d58,317637.1755311592,317726.8484330694,-219.2968824628622,-8.434495479340853,26,86400
0x0033009100ef46b4585949ec68fe7093c7a71ace,1710763.4716643398,1711006.027185,-1440.0899508246803,-110.77615006343694,13,86400
